gr_id,gr_number,gr_po_header_id,gr_date,gr_store_loc_vm_street,gr_store_loc_vm_city,gr_store_loc_vm_state,gr_store_loc_vm_country,gr_store_loc_vm_postal,gr_status,createdAt,createdBy,modifiedAt,modifiedBy
g1111111-1111-1111-1111-111111111111,5001,p1111111-1111-1111-1111-111111111111,2024-01-22,Site Store A,Hyderabad,Telangana,India,500001,Posted,2024-01-22T10:00:00Z,ADMIN,2024-01-22T10:00:00Z,ADMIN
g2222222-2222-2222-2222-222222222222,5002,p2222222-2222-2222-2222-222222222222,2024-02-14,Main Yard,Bangalore,Karnataka,India,560001,Posted,2024-02-14T10:00:00Z,ADMIN,2024-02-14T10:00:00Z,ADMIN
g3333333-3333-3333-3333-333333333333,5003,p3333333-3333-3333-3333-333333333333,2024-03-18,Paint Depot,Ahmedabad,Gujarat,India,380001,Posted,2024-03-18T11:00:00Z,ADMIN,2024-03-18T11:00:00Z,ADMIN
g4444444-4444-4444-4444-444444444444,5004,p4444444-4444-4444-4444-444444444444,2024-03-28,Electrical Shed,Hyderabad,Telangana,India,500002,Draft,2024-03-28T12:00:00Z,ADMIN,2024-03-28T12:00:00Z,ADMIN
g5555555-5555-5555-5555-555555555555,5005,p5555555-5555-5555-5555-555555555555,2024-04-15,Brick Yard,Bangalore,Karnataka,India,560076,Posted,2024-04-15T10:00:00Z,ADMIN,2024-04-15T10:00:00Z,ADMIN
g6666666-6666-6666-6666-666666666666,5006,p6666666-6666-6666-6666-666666666666,2024-04-28,Safety Warehouse,Ahmedabad,Gujarat,India,380015,Draft,2024-04-28T10:00:00Z,ADMIN,2024-04-28T10:00:00Z,ADMIN
g7777777-7777-7777-7777-777777777777,5007,p7777777-7777-7777-7777-777777777777,2024-05-10,Copper Depot,Bangalore,Karnataka,India,560025,Posted,2024-05-10T12:00:00Z,ADMIN,2024-05-10T12:00:00Z,ADMIN
g8888888-8888-8888-8888-888888888888,5008,p8888888-8888-8888-8888-888888888888,2024-05-28,Service Bay,Hyderabad,Telangana,India,500016,Posted,2024-05-28T13:00:00Z,ADMIN,2024-05-28T13:00:00Z,ADMIN
g9999999-9999-9999-9999-999999999999,5009,p9999999-9999-9999-9999-999999999999,2024-06-10,Wood Yard,Ahmedabad,Gujarat,India,380006,Posted,2024-06-10T10:00:00Z,ADMIN,2024-06-10T10:00:00Z,ADMIN
gaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,5010,paaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2024-06-28,Chem Store,Bangalore,Karnataka,India,560042,Draft,2024-06-28T11:00:00Z,ADMIN,2024-06-28T11:00:00Z,ADMIN
